account_id,customer_id,account_open_date,balance,status
ACC00000001,CUST004160,2025-02-25,31289.35,DORMANT
ACC00000002,CUST009849,2022-02-10,509160.59,ACTIVE
ACC00000003,CUST005248,2008-06-01,810839.19,CLOSED
ACC00000004,CUST007401,2009-08-29,740428.70,CLOSED
ACC00000005,CUST006382,2010-11-23,841408.57,ACTIVE
ACC00000006,CUST005294,2020-06-27,254793.95,DORMANT
ACC00000007,CUST006994,2023-04-29,47690.96,CLOSED
ACC00000008,CUST005051,2021-06-25,967588.13,DORMANT
ACC00000009,CUST004456,2020-03-09,305871.38,DORMANT
ACC00000010,CUST000898,2025-11-06,873587.23,DORMANT
ACC00000011,CUST007620,2019-01-24,271147.62,ACTIVE
ACC00000012,CUST006280,2019-07-23,721078.65,DORMANT
ACC00000013,CUST009144,2008-04-06,801402.73,BLOCKED
ACC00000014,CUST001778,2010-10-29,785588.69,DORMANT
ACC00000015,CUST005242,2024-12-18,970808.32,ACTIVE
ACC00000016,CUST000702,2025-07-19,836134.39,DORMANT
ACC00000017,CUST004111,2022-04-05,244649.74,ACTIVE
ACC00000018,CUST004338,2016-02-11,88942.13,DORMANT
ACC00000019,CUST009192,2013-07-28,672610.22,ACTIVE
ACC00000020,CUST007500,2019-08-26,508232.75,ACTIVE
ACC00000021,CUST005709,2017-04-13,990762.09,BLOCKED
ACC00000022,CUST008539,2016-03-18,374708.01,ACTIVE
ACC00000023,CUST005528,2017-10-28,304711.01,ACTIVE
ACC00000024,CUST008650,2015-07-19,170850.44,CLOSED
ACC00000025,CUST001869,2023-10-03,399424.01,ACTIVE
ACC00000026,CUST000565,2015-07-22,233515.88,BLOCKED
ACC00000027,CUST007244,2024-11-18,13981.87,DORMANT
ACC00000028,CUST008266,2014-04-25,477089.29,BLOCKED
ACC00000029,CUST000673,2025-12-13,554014.65,CLOSED
ACC00000030,CUST003262,2013-10-29,186187.24,BLOCKED
ACC00000031,CUST006321,2021-09-08,545891.24,CLOSED
ACC00000032,CUST002377,2011-10-23,707071.97,DORMANT
ACC00000033,CUST007179,2021-01-31,497976.06,ACTIVE
ACC00000034,CUST000610,2016-05-28,850661.52,CLOSED
ACC00000035,CUST006305,2020-11-23,734923.18,ACTIVE
ACC00000036,CUST006028,2013-10-24,744698.58,CLOSED
ACC00000037,CUST006852,2022-04-07,224011.13,CLOSED
ACC00000038,CUST003154,2010-04-09,265584.25,CLOSED
ACC00000039,CUST005313,2007-04-03,289838.63,ACTIVE
ACC00000040,CUST008742,2020-05-08,820400.41,CLOSED
ACC00000041,CUST005579,2008-11-06,805359.58,BLOCKED
ACC00000042,CUST006855,2020-08-26,216944.22,ACTIVE
ACC00000043,CUST004268,2018-03-07,84891.90,DORMANT
ACC00000044,CUST005457,2014-05-29,98718.82,ACTIVE
ACC00000045,CUST002282,2014-04-16,439552.48,DORMANT
ACC00000046,CUST003951,2014-07-23,301558.13,ACTIVE
ACC00000047,CUST003897,2012-11-20,39669.86,BLOCKED
ACC00000048,CUST005754,2013-10-18,569670.71,DORMANT
ACC00000049,CUST005801,2008-02-11,601476.94,DORMANT
ACC00000050,CUST003780,2009-08-25,774137.14,ACTIVE
ACC00000051,CUST003099,2022-04-29,447800.58,ACTIVE
ACC00000052,CUST006317,2020-03-04,534525.23,DORMANT
ACC00000053,CUST005925,2016-12-14,583101.92,BLOCKED
ACC00000054,CUST004076,2005-06-24,791079.67,CLOSED
ACC00000055,CUST004602,2006-06-15,512506.98,CLOSED
ACC00000056,CUST008515,2019-05-26,297080.30,ACTIVE
ACC00000057,CUST006191,2010-05-04,547479.67,ACTIVE
ACC00000058,CUST008726,2021-10-15,375485.60,BLOCKED
ACC00000059,CUST007901,2006-04-07,802316.46,DORMANT
ACC00000060,CUST009456,2024-07-08,827338.63,CLOSED
ACC00000061,CUST009893,2021-06-11,220480.05,DORMANT
ACC00000062,CUST003625,2014-10-31,99179.65,DORMANT
ACC00000063,CUST001473,2020-01-29,249940.27,BLOCKED
ACC00000064,CUST007105,2011-11-04,938185.46,ACTIVE
ACC00000065,CUST007436,2007-02-14,616203.26,ACTIVE
ACC00000066,CUST001262,2022-09-01,239675.24,CLOSED
ACC00000067,CUST008626,2009-12-07,434873.34,ACTIVE
ACC00000068,CUST001106,2017-01-12,46985.10,DORMANT
ACC00000069,CUST009697,2013-10-24,520630.33,DORMANT
ACC00000070,CUST001396,2014-09-08,961235.89,CLOSED
ACC00000071,CUST002172,2017-03-24,626092.32,BLOCKED
ACC00000072,CUST003044,2007-07-25,48604.26,CLOSED
