customer_id,name,dob,branch,kyc_status
CUST000001,Aryan Verma,1955-10-08,Chennai,PENDING
CUST000002,Ishaan Agarwal,1976-04-01,Ahmedabad,IN_PROGRESS
CUST000003,Kabir Chopra,1984-12-11,Hyderabad,PENDING
CUST000004,Vihaan Patel,1972-11-10,Delhi,IN_PROGRESS
CUST000005,Pranav Verma,1977-10-24,Hyderabad,IN_PROGRESS
CUST000006,Aryan Nair,1974-02-27,Bengaluru,PENDING
CUST000007,Arjun Das,1974-04-29,Pune,PENDING
CUST000008,Atharv Rao,1965-02-17,Jaipur,IN_PROGRESS
CUST000009,Aarav Jain,1959-09-26,Hyderabad,IN_PROGRESS
CUST000010,Ishaan Nair,2000-09-17,Mumbai,PENDING
CUST000011,Mohammed Singh,1972-07-05,Chennai,PENDING
CUST000012,Aryan Ghosh,1957-12-24,Chennai,REJECTED
CUST000013,Ritvik Verma,1991-01-24,Jaipur,IN_PROGRESS
CUST000014,Aarav Chopra,1999-02-15,Mumbai,REJECTED
CUST000015,Dhruv Ghosh,1983-08-14,Lucknow,PENDING
CUST000016,Ishaan Chaudhary,1977-05-03,Mumbai,REJECTED
CUST000017,Reyansh Nair,1983-02-21,Mumbai,REJECTED
CUST000018,Kabir Verma,1953-02-03,Ahmedabad,IN_PROGRESS
CUST000019,Mohammed Jain,1989-08-31,Delhi,IN_PROGRESS
CUST000020,Dhruv Jain,1992-10-20,Kolkata,REJECTED
CUST000021,Vihaan Pillai,1973-09-29,Chennai,REJECTED
CUST000022,Reyansh Das,1984-08-10,Jaipur,REJECTED
CUST000023,Ishaan Agarwal,1977-03-27,Pune,IN_PROGRESS
CUST000024,Advik Ghosh,1950-02-25,Delhi,PENDING
CUST000025,Dhruv Pillai,1982-04-18,Pune,IN_PROGRESS
CUST000026,Vivaan Chopra,1985-03-31,Hyderabad,COMPLETED
CUST000027,Pranav Singh,1994-01-19,Hyderabad,IN_PROGRESS
CUST000028,Sai Reddy,1950-10-04,Hyderabad,COMPLETED
CUST000029,Aditya Nair,1956-08-13,Jaipur,COMPLETED
CUST000030,Ishaan Kumar,1986-07-18,Pune,REJECTED
CUST000031,Mohammed Bansal,1958-06-02,Hyderabad,PENDING
CUST000032,Dhruv Agarwal,1979-11-18,Pune,PENDING
CUST000033,Arjun Mehta,1962-06-30,Pune,REJECTED
CUST000034,Advik Pillai,1968-02-19,Chennai,REJECTED
CUST000035,Krishna Gupta,1971-05-04,Kolkata,PENDING
CUST000036,Vihaan Pillai,1984-10-07,Kolkata,REJECTED
CUST000037,Ritvik Patel,1995-12-07,Bengaluru,COMPLETED
CUST000038,Arjun Malhotra,1997-09-18,Chennai,IN_PROGRESS
CUST000039,Mohammed Nair,1956-10-20,Chennai,REJECTED
CUST000040,Kabir Rao,1959-01-11,Pune,COMPLETED
CUST000041,Arjun Chopra,1997-10-21,Lucknow,PENDING
CUST000042,Aayan Singh,1951-11-30,Bengaluru,COMPLETED
CUST000043,Aryan Gupta,1995-12-24,Bengaluru,COMPLETED
CUST000044,Dhruv Nair,1960-04-14,Pune,IN_PROGRESS
CUST000045,Kabir Mehta,1954-10-25,Jaipur,REJECTED
CUST000046,Pranav Ghosh,1955-01-20,Lucknow,IN_PROGRESS
CUST000047,Ritvik Rao,1974-06-12,Lucknow,IN_PROGRESS
CUST000048,Reyansh Singh,1989-04-29,Mumbai,IN_PROGRESS
CUST000049,Vivaan Singh,1982-08-16,Jaipur,REJECTED
CUST000050,Pranav Nair,2003-03-14,Jaipur,PENDING
CUST000051,Advik Mehta,2005-04-13,Mumbai,PENDING
CUST000052,Vivaan Singh,1976-08-27,Jaipur,IN_PROGRESS
CUST000053,Pranav Pillai,1996-08-14,Delhi,PENDING
CUST000054,Kabir Verma,2000-03-15,Bengaluru,REJECTED
CUST000055,Dhruv Agarwal,1957-08-22,Pune,COMPLETED
CUST000056,Arjun Pillai,1997-01-31,Pune,IN_PROGRESS
CUST000057,Aditya Verma,1956-12-22,Lucknow,COMPLETED
CUST000058,Krishna Reddy,1951-09-02,Mumbai,REJECTED
CUST000059,Rohan Chaudhary,1980-11-09,Kolkata,IN_PROGRESS
CUST000060,Mohammed Rao,1964-05-28,Ahmedabad,COMPLETED
CUST000061,Pranav Sharma,1971-09-19,Hyderabad,COMPLETED
CUST000062,Atharv Sharma,1963-03-12,Mumbai,PENDING
CUST000063,Atharv Sharma,1956-11-15,Delhi,IN_PROGRESS
CUST000064,Sai Das,1955-08-06,Chennai,REJECTED
CUST000065,Advik Bansal,1995-06-26,Bengaluru,PENDING
CUST000066,Aayan Bansal,2001-09-20,Kolkata,REJECTED
CUST000067,Aayan Gupta,2002-08-27,Chennai,REJECTED
CUST000068,Aryan Gupta,1981-04-10,Hyderabad,COMPLETED
CUST000069,Ishaan Das,1976-02-24,Jaipur,IN_PROGRESS
CUST000070,Ishaan Mehta,1978-10-27,Kolkata,IN_PROGRESS
CUST000071,Vihaan Chaudhary,1994-06-15,Bengaluru,PENDING
CUST000072,Ishaan Nair,1951-03-07,Hyderabad,COMPLETED
CUST000073,Aditya Patel,1998-12-30,Delhi,IN_PROGRESS
CUST000074,Aayan Patel,1981-12-16,Ahmedabad,PENDING
CUST000075,Kabir Ghosh,1969-07-11,Ahmedabad,COMPLETED
CUST000076,Aayan Gupta,1983-09-29,Bengaluru,REJECTED
CUST000077,Aditya Bansal,1997-11-13,Pune,REJECTED
CUST000078,Arjun Patel,1962-11-11,Mumbai,PENDING
CUST000079,Aryan Agarwal,1956-08-10,Kolkata,COMPLETED
CUST000080,Arjun Gupta,1986-02-26,Ahmedabad,COMPLETED
CUST000081,Aryan Verma,2003-01-31,Kolkata,PENDING
CUST000082,Vivaan Chaudhary,1992-05-01,Bengaluru,REJECTED
CUST000083,Pranav Bansal,2005-11-04,Mumbai,REJECTED
CUST000084,Aayan Jain,1985-04-24,Lucknow,PENDING
CUST000085,Arjun Ghosh,1975-02-22,Pune,IN_PROGRESS
CUST000086,Pranav Gupta,1979-08-24,Mumbai,IN_PROGRESS
CUST000087,Aryan Bansal,1988-04-23,Jaipur,REJECTED
CUST000088,Advik Reddy,1953-03-29,Jaipur,PENDING
CUST000089,Reyansh Bansal,2005-06-04,Pune,IN_PROGRESS
CUST000090,Ritvik Mehta,1955-11-21,Mumbai,IN_PROGRESS
CUST000091,Dhruv Kumar,1961-03-30,Hyderabad,COMPLETED
CUST000092,Atharv Agarwal,1969-11-28,Hyderabad,REJECTED
CUST000093,Aryan Kumar,1950-05-11,Mumbai,IN_PROGRESS
CUST000094,Ishaan Singh,1980-10-25,Hyderabad,PENDING
CUST000095,Rohan Gupta,1984-03-31,Chennai,COMPLETED
CUST000096,Reyansh Pillai,1981-02-22,Chennai,COMPLETED
CUST000097,Shaurya Yadav,2005-03-02,Jaipur,PENDING
CUST000098,Advik Agarwal,1972-07-09,Chennai,COMPLETED
CUST000099,Rohan Agarwal,1990-08-11,Delhi,COMPLETED
